Time,Vdc,Adc
1678483737.7616742, 4.7240e1, 1.4981e1
1678483738.2303803, 4.7239e1, 1.4981e1
1678483738.8630965, 4.7239e1, 1.4981e1
1678483739.2776806, 4.7238e1, 1.4981e1
1678483739.7616746, 4.7238e1, 1.4981e1
1678483740.2306101, 4.7237e1, 1.4981e1
1678483740.863172, 4.7237e1, 1.4981e1
1678483741.2787435, 4.7236e1, 1.4981e1
1678483741.7617884, 4.7236e1, 1.4981e1
1678483742.2308323, 4.7235e1, 1.4981e1
1678483742.8632138, 4.7234e1, 1.4981e1
1678483743.2787442, 4.7234e1, 1.4981e1
1678483743.7620375, 4.7234e1, 1.4981e1
1678483744.2311282, 4.7233e1, 1.4981e1
1678483744.864313, 4.7232e1, 1.4981e1
1678483745.2787883, 4.7231e1, 1.4980e1
1678483745.7617924, 4.7230e1, 1.4981e1
1678483746.2313933, 4.7230e1, 1.4981e1
1678483746.864275, 4.7229e1, 1.4981e1
1678483747.278859, 4.7229e1, 1.4981e1
1678483747.7628486, 4.7228e1, 1.4981e1
1678483748.2316585, 4.7227e1, 1.4981e1
1678483748.8643394, 4.7226e1, 1.4981e1
1678483749.2788675, 4.7225e1, 1.4981e1
1678483749.7628932, 4.7224e1, 1.4981e1
1678483750.23186, 4.7224e1, 1.4981e1
1678483750.8643196, 4.7223e1, 1.4981e1
1678483751.2799194, 4.7222e1, 1.4981e1
1678483751.7629473, 4.7221e1, 1.4981e1
1678483752.2321088, 4.7220e1, 1.4981e1
1678483752.8654346, 4.7219e1, 1.4981e1
1678483753.2803025, 4.7219e1, 1.4981e1
1678483753.7630157, 4.7219e1, 1.4981e1
1678483754.2324278, 4.7218e1, 1.4981e1
1678483754.8656106, 4.7219e1, 1.4981e1
1678483755.2800698, 4.7218e1, 1.4981e1
1678483755.7630339, 4.7218e1, 1.4981e1
1678483756.2326503, 4.7217e1, 1.4981e1
1678483756.8654792, 4.7216e1, 1.4981e1
1678483757.2800455, 4.7215e1, 1.4981e1
1678483757.7641206, 4.7214e1, 1.4981e1
1678483758.2328405, 4.7214e1, 1.4981e1
1678483758.8655245, 4.7213e1, 1.4981e1
1678483759.281109, 4.7213e1, 1.4981e1
1678483759.7645574, 4.7212e1, 1.4981e1
1678483760.23313, 4.7211e1, 1.4981e1
1678483760.8655558, 4.7210e1, 1.4981e1
1678483761.2812154, 4.7209e1, 1.4981e1
1678483761.7642014, 4.7208e1, 1.4981e1
1678483762.23344, 4.7207e1, 1.4981e1
1678483762.8666139, 4.7206e1, 1.4981e1
1678483763.2812386, 4.7206e1, 1.4981e1
1678483763.7642307, 4.7206e1, 1.4981e1
1678483764.2336776, 4.7205e1, 1.4981e1
1678483764.8666546, 4.7205e1, 1.4981e1
1678483765.2812514, 4.7205e1, 1.4981e1
1678483765.7652335, 4.7204e1, 1.4981e1
1678483766.2339587, 4.7204e1, 1.4980e1
1678483766.866258, 4.7204e1, 1.4981e1
1678483767.2812948, 4.7203e1, 1.4981e1
1678483767.7653284, 4.7203e1, 1.4981e1
1678483768.2342038, 4.7202e1, 1.4981e1
1678483768.8668191, 4.7200e1, 1.4980e1
1678483769.2823465, 4.7200e1, 1.4981e1
1678483769.7653277, 4.7199e1, 1.4981e1
1678483770.234476, 4.7199e1, 1.4981e1
1678483770.8666332, 4.7198e1, 1.4981e1
1678483771.2823803, 4.7198e1, 1.4981e1
1678483771.7653656, 4.7197e1, 1.4981e1
1678483772.2347193, 4.7196e1, 1.4981e1
1678483772.867591, 4.7196e1, 1.4981e1
1678483773.2824128, 4.7195e1, 1.4981e1
1678483773.765394, 4.7194e1, 1.4981e1
1678483774.2349546, 4.7194e1, 1.4981e1
1678483774.8676682, 4.7194e1, 1.4981e1
